ordre_agents,Vp,numberOfTurn,0,1,2,3
"A0,A1,A2,A3",0.2,5,True,False,True,False
"A0,A1,A3,A2",0.2,5,True,False,True,False
"A0,A2,A1,A3",0.2,5,True,False,True,False
"A0,A2,A3,A1",0.2,5,True,False,True,False
"A0,A3,A1,A2",0.2,5,True,False,True,False
"A0,A3,A2,A1",0.2,5,True,False,True,False
"A1,A0,A2,A3",0.2,4,True,False,True,False
"A1,A0,A3,A2",0.2,5,True,False,True,False
"A1,A2,A0,A3",0.2222222222222222,4,True,False,True,False
"A1,A2,A3,A0",0.2,4,True,False,True,False
"A1,A3,A0,A2",0.2,4,True,False,True,False
"A1,A3,A2,A0",0.2,4,True,False,True,False
"A2,A0,A1,A3",0.2222222222222222,4,True,False,True,False
"A2,A0,A3,A1",0.2222222222222222,4,True,False,True,False
"A2,A1,A0,A3",0.2222222222222222,4,True,False,True,False
"A2,A1,A3,A0",0.2,4,True,False,True,False
"A2,A3,A0,A1",0.2,4,True,False,True,False
"A2,A3,A1,A0",0.2,4,True,False,True,False
"A3,A0,A1,A2",0.2,4,True,False,True,False
"A3,A0,A2,A1",0.2,4,True,False,True,False
"A3,A1,A0,A2",0.2,4,True,False,True,False
"A3,A1,A2,A0",0.2222222222222222,4,True,False,True,False
"A3,A2,A0,A1",0.2222222222222222,4,True,False,True,False
"A3,A2,A1,A0",0.2222222222222222,4,True,False,True,False
